source_type,source_id,frame_number,class_id,class_name,confidence,x_min,y_min,x_max,y_max,width,height,area_pixels,frame_width,frame_height,bbox_area_ratio,center_x,center_y,center_x_norm,center_y_norm,position_region,dominant_color_name,dom_r,dom_g,dom_b,timestamp_sec,ingestion_date,detection_id
image,1.jpeg,0,0,person,0.7755841016769409,34,366,96,502,61,136,8451,720,1280,0.009170067835277426,65.13070678710938,434.2872314453125,0.09045931498209635,0.33928689956665037,middle-left,blue,57,65,80,0.0,2025-11-21T11:36:24.600113,24341e83-6e52-4398-8c52-72904d36f929
image,1.jpeg,0,0,person,0.7079193592071533,341,397,443,614,102,217,22286,720,1280,0.024182147338287906,392.47845458984375,506.27520751953125,0.5451089647081163,0.3955275058746338,middle-center,blue,42,44,53,0.0,2025-11-21T11:36:24.600796,71203935-199e-426f-b57f-18579245832e
image,10.jpeg,0,0,person,0.8960453271865845,142,444,258,748,115,303,34928,720,1280,0.03790036330867224,200.46774291992188,596.2662506103516,0.27842742072211374,0.46583300828933716,middle-left,red,112,107,99,0.0,2025-11-21T11:36:24.648074,6a327a3e-228b-4e4b-a7a9-eeb029b7a6e2
image,10.jpeg,0,0,person,0.8826531767845154,22,450,127,738,105,288,30259,720,1280,0.03283403161468868,74.92293548583984,594.3620758056641,0.104059632619222,0.464345371723175,middle-left,red,152,129,105,0.0,2025-11-21T11:36:24.648768,a48f3120-eb10-4007-9b51-e1f25c0caac6
image,10.jpeg,0,0,person,0.8646886348724365,260,423,364,758,104,335,35116,720,1280,0.03810358796121566,312.5086669921875,590.8377685546875,0.4340398152669271,0.4615920066833496,middle-center,blue,77,81,86,0.0,2025-11-21T11:36:24.649500,53cbd197-44eb-41f2-96e7-17b85ac54b36
image,10.jpeg,0,9,traffic light,0.5629425048828125,569,199,596,255,27,55,1522,720,1280,0.001652431537307469,582.8509521484375,227.2282257080078,0.8095152113172743,0.1775220513343811,top-right,green,104,112,109,0.0,2025-11-21T11:36:24.649774,8ffa96fc-d608-476c-8bbc-a50c3d175afa
image,10.jpeg,0,2,car,0.545734703540802,407,500,439,522,32,22,714,720,1280,0.0007749811864050571,423.50836181640625,511.4622802734375,0.588206058078342,0.39957990646362307,middle-center,red,118,70,81,0.0,2025-11-21T11:36:24.649980,14257821-c3b6-4054-b6e2-593283102766
image,10.jpeg,0,2,car,0.4453832507133484,525,504,610,551,84,47,4036,720,1280,0.004380190944680685,568.265869140625,527.902587890625,0.7892581515842014,0.41242389678955077,middle-right,blue,76,96,97,0.0,2025-11-21T11:36:24.650241,a301eb31-383d-4d8f-acd0-94c43045c114
image,10.jpeg,0,0,person,0.4212320148944855,630,492,647,535,17,42,738,720,1280,0.0008009136188775301,639.1326904296875,514.0601806640625,0.8876842922634549,0.4016095161437988,middle-right,blue,72,86,95,0.0,2025-11-21T11:36:24.650451,e644e306-b9ca-4b18-b4ac-0b4720709462
image,11.jpeg,0,0,person,0.9011184573173523,158,325,270,638,111,313,34895,720,1280,0.0378635195000849,214.47293090820312,481.8767395019531,0.2978790707058377,0.37646620273590087,middle-left,red,106,102,95,0.0,2025-11-21T11:36:24.686212,a04620be-1535-47ab-8795-928903ca75a0
image,11.jpeg,0,0,person,0.8633591532707214,534,341,719,1228,185,886,164318,720,1280,0.17829751014599524,626.7406005859375,785.160888671875,0.8704730563693577,0.6134069442749024,middle-right,other,95,95,90,0.0,2025-11-21T11:36:24.689565,77f43ac7-36ea-4d0a-b193-3e5cd2b0f6ed
image,11.jpeg,0,0,person,0.7855193018913269,268,357,357,646,88,288,25532,720,1280,0.027704838810936456,313.232666015625,501.9687805175781,0.43504536946614586,0.3921631097793579,middle-center,red,111,105,99,0.0,2025-11-21T11:36:24.690708,4e408f88-5b07-4f3b-bfc3-09a7924e9cda
image,11.jpeg,0,0,person,0.6282740235328674,366,379,405,486,38,106,4139,720,1280,0.004491685516566374,386.2834167480469,432.96307373046875,0.5365047454833984,0.3382524013519287,middle-center,blue,91,91,92,0.0,2025-11-21T11:36:24.691294,dd725c1d-fd8e-479b-a25a-ae7b521055e8
image,11.jpeg,0,9,traffic light,0.5512477159500122,605,169,628,212,23,42,990,720,1280,0.0010747753454658474,617.3931884765625,191.0377197265625,0.8574905395507812,0.14924821853637696,top-right,green,118,127,121,0.0,2025-11-21T11:36:24.691679,1b2fb01f-a671-4b4e-8b43-e473fa44d08e
image,11.jpeg,0,0,person,0.4401096701622009,402,385,423,448,20,62,1277,720,1280,0.0013861210041472482,412.88739013671875,416.65069580078125,0.5734547085232204,0.32550835609436035,top-center,red,115,99,100,0.0,2025-11-21T11:36:24.691956,9f930d75-b058-4fdb-af92-3c3e3a3020be
image,12.jpeg,0,0,person,0.9113156795501709,232,342,337,627,105,285,30061,720,1280,0.03261843884575582,285.02978515625,485.08343505859375,0.39587470160590277,0.37897143363952634,middle-center,red,116,111,104,0.0,2025-11-21T11:36:24.728010,a4aca508-6933-47cb-b0f3-cae5e2ed37a3
image,12.jpeg,0,0,person,0.8499082326889038,548,348,720,1215,171,867,148337,720,1280,0.1609564273156866,634.4896545410156,782.1209716796875,0.8812356313069661,0.6110320091247559,middle-right,green,87,89,84,0.0,2025-11-21T11:36:24.731002,0851b17f-47bb-421d-a4a8-e9bd243580e8
image,12.jpeg,0,0,person,0.8156182765960693,332,379,422,632,89,252,22753,720,1280,0.02468867314817746,377.43548583984375,506.11798095703125,0.5242159525553386,0.39540467262268064,middle-center,red,121,114,108,0.0,2025-11-21T11:36:24.731757,446a024f-320f-4bb7-90ab-9193c42e5b98
